Sigma,Iteration,Vmax,Km,Ki
0.0,0,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,1,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,2,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,3,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,4,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,5,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,6,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,7,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,8,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,9,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,10,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,11,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,12,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,13,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,14,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,15,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,16,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,17,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,18,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,19,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,20,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,21,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,22,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,23,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,24,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,25,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,26,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,27,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,28,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,29,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,30,54.579462644726426,2.0577302054307136,1.9148948473642529
0.0,31,54.579462644726426,2.0577302054307136,1.9148948473642529
